"","Posted.On","BHK","Rent","Size","Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact"
"1484","2022-06-20",1,50000,400,"10 out of 22","Carpet Area","Hiranandani Regent Hill, Hiranandani Gardens","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"1485","2022-07-07",4,680000,1962,"18 out of 20","Carpet Area","Khar West","Mumbai","Semi-Furnished","Bachelors/Family",5,"Contact Agent"
"1486","2022-07-09",3,140000,1100,"6 out of 12","Carpet Area","Waterfield Road","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1487","2022-05-27",2,40000,800,"1 out of 3","Super Area","in Borivali West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1488","2022-07-07",2,32000,590,"7 out of 12","Carpet Area","Saaga Mrunali CHS, Shantivan","Mumbai","Unfurnished","Family",2,"Contact Agent"
"1489","2022-07-06",2,78000,600,"14 out of 22","Carpet Area","Andheri West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1490","2022-05-25",4,280000,2500,"24 out of 60","Carpet Area","Bombay Dyeing Two ICC, Dadar TT Circle","Mumbai","Semi-Furnished","Bachelors/Family",6,"Contact Agent"
"1491","2022-07-06",2,45000,670,"17 out of 22","Carpet Area","Chembur","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1493","2022-06-21",2,65000,1500,"4 out of 4","Super Area","in Sion","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"1494","2022-06-08",1,35000,500,"1 out of 5","Super Area","Ghatkopar West","Mumbai","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1495","2022-05-28",3,90000,1120,"8 out of 45","Carpet Area","DB Woods, Gokuldham","Mumbai","Furnished","Family",2,"Contact Agent"
"1496","2022-05-27",4,250000,2729,"20 out of 27","Carpet Area","L&T Emerald Isle, Powai","Mumbai","Semi-Furnished","Bachelors",5,"Contact Agent"
"1497","2022-06-30",3,70000,3354,"Ground out of 16","Carpet Area","Talagatta Pura","Bangalore","Furnished","Bachelors/Family",3,"Contact Agent"
"1499","2022-07-04",2,13000,1000,"Ground out of 4","Super Area","Kattigenahalli, Bellary Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1500","2022-06-04",2,17000,1040,"4 out of 4","Super Area","C V Raman Nagar","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner"
"1501","2022-06-04",3,21000,1403,"1 out of 4","Super Area","Chikkalasandra, Bangalore","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"1502","2022-06-04",2,10000,600,"3 out of 4","Super Area","Talaghattapura","Bangalore","Furnished","Bachelors/Family",1,"Contact Owner"
"1503","2022-07-09",4,61500,2608,"1 out of 4","Carpet Area","Malleshwaram","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent"
"1504","2022-05-11",2,13000,850,"1 out of 3","Carpet Area","Ramaiah Layout, Kacharakanahalli","Bangalore","Semi-Furnished","Family",2,"Contact Agent"
"1505","2022-06-04",1,7500,400,"1 out of 2","Super Area","Rajajinagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1506","2022-06-04",2,17000,1000,"3 out of 4","Super Area","Padmanabha Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1507","2022-06-23",3,25000,1350,"5 out of 14","Carpet Area","Kengeri Main Road","Bangalore","Semi-Furnished","Bachelors",3,"Contact Owner"
"1508","2022-05-10",2,10500,800,"1 out of 2","Carpet Area","Ramamurthy Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1509","2022-05-04",1,8000,350,"3 out of 3","Super Area","Thanisandra","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1510","2022-05-10",1,9500,900,"Ground out of 2","Super Area","J P Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1511","2022-07-06",3,50000,2000,"1 out of 2","Carpet Area","Bannerghatta Main Road","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1513","2022-05-20",1,13500,600,"1 out of 4","Super Area","venkatapuram","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1514","2022-06-16",2,13000,700,"Ground out of 1","Carpet Area","Vv Nagar, Bikasipura","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1516","2022-05-10",2,15000,1400,"Ground out of 1","Super Area","Ramamurthy Nagar","Bangalore","Furnished","Bachelors/Family",3,"Contact Owner"
"1517","2022-05-10",1,7000,600,"Ground out of 3","Super Area","Kacharakanahalli","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1518","2022-05-10",2,25000,770,"8 out of 32","Super Area","Tumkur Road","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner"
"1519","2022-06-25",2,17000,900,"1 out of 2","Carpet Area","Babusahib Palya","Bangalore","Semi-Furnished","Family",2,"Contact Owner"
"1520","2022-06-23",1,7500,500,"Ground out of 3","Super Area","Kumaraswamy Layout, Kumaraswamy Layout","Bangalore","Furnished","Bachelors/Family",1,"Contact Owner"
"1521","2022-05-27",2,15000,1100,"1 out of 2","Super Area","Nri Layout","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"1522","2022-06-27",1,7500,500,"1 out of 2","Super Area","Balaji Layout -Hongasandra, Hongasandra","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1523","2022-04-28",3,25000,1260,"Ground out of 2","Super Area","Vijaya Bank Layout","Bangalore","Furnished","Bachelors/Family",3,"Contact Owner"
"1524","2022-06-30",3,54000,1750,"2 out of 4","Carpet Area","Jaya Nagar Block 1, Jayanagar","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1525","2022-05-24",1,14500,600,"1 out of 3","Carpet Area","Maruthi Sevanagar","Bangalore","Semi-Furnished","Bachelors",1,"Contact Agent"
"1528","2022-05-27",1,5500,400,"Ground out of 2","Super Area","Hongasandra","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1529","2022-06-13",2,16000,600,"1 out of 2","Carpet Area","Girinagar","Bangalore","Unfurnished","Bachelors",2,"Contact Owner"
"1530","2022-06-04",1,7000,400,"Ground out of 2","Super Area","T Dasarahalli","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1531","2022-06-20",2,12500,900,"Ground out of 3","Super Area","Ramamurthy Nagar","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner"
"1532","2022-06-08",2,10000,1200,"Ground out of 4","Super Area","Jogupalya","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1533","2022-05-04",2,18000,1045,"1 out of 2","Carpet Area","Maruthi Sevanagar","Bangalore","Semi-Furnished","Bachelors",2,"Contact Owner"
"1534","2022-05-02",3,28000,1021,"10 out of 10","Carpet Area","Balaji Gardens Layout, Gottigere","Bangalore","Furnished","Bachelors",3,"Contact Owner"
"1535","2022-06-17",3,12000,1200,"Ground out of 4","Super Area","in Bannerghatta Road","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"1536","2022-05-23",2,13000,1000,"1 out of 3","Carpet Area","Electronic City Phase 2, Electronic City","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1537","2022-05-18",2,50000,1280,"2 out of 12","Carpet Area","Hebbal","Bangalore","Furnished","Bachelors/Family",2,"Contact Agent"
"1538","2022-06-21",1,7000,450,"1 out of 2","Carpet Area","Jalahalli East","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1539","2022-06-14",2,30000,450,"2 out of 3","Super Area","Garebhavipalya, Hongasandra, Hosur Road","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"1542","2022-06-04",1,7500,500,"2 out of 4","Super Area","Basaveshwar Nagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1543","2022-07-06",3,45000,1680,"7 out of 19","Super Area","Jp Nagar Phase 7, J P Nagar","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1544","2022-07-06",3,65000,2000,"23 out of 40","Carpet Area","Hebbal","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent"
"1546","2022-07-06",1,7000,500,"2 out of 2","Carpet Area","Aecs Layout-Singasandra, Singasandra, Hosur Road","Bangalore","Semi-Furnished","Bachelors",1,"Contact Owner"
"1547","2022-06-20",1,9000,800,"2 out of 3","Super Area","Mahadevapura","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1548","2022-06-20",2,23000,1100,"2 out of 3","Super Area","Banaswadi","Bangalore","Semi-Furnished","Family",2,"Contact Owner"
"1550","2022-05-27",1,8000,500,"2 out of 3","Carpet Area","Tilak Nagar, Jayanagar, bannerghatta main Road","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1551","2022-06-12",2,16000,1155,"3 out of 4","Super Area","K R Puram","Bangalore","Semi-Furnished","Family",2,"Contact Owner"
"1552","2022-06-21",1,7500,440,"3 out of 4","Super Area","Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1553","2022-05-18",2,20000,1040,"1 out of 7","Carpet Area","Sarjapur Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1554","2022-05-27",4,110000,2900,"7 out of 18","Carpet Area","whitefield","Bangalore","Furnished","Bachelors",4,"Contact Agent"
"1555","2022-07-07",3,30000,1200,"1 out of 2","Super Area","Nagondanahalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1556","2022-06-30",3,20000,1600,"2 out of 3","Super Area","Isro Layout, Kumaraswamy Layout","Bangalore","Semi-Furnished","Family",3,"Contact Agent"
"1557","2022-05-11",4,84000,3150,"8 out of 19","Carpet Area","Banashankari","Bangalore","Unfurnished","Bachelors",4,"Contact Owner"
"1558","2022-06-08",2,17000,1000,"2 out of 4","Super Area","JAR Shikara","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1559","2022-07-04",2,15000,1200,"1 out of 2","Super Area","Medahalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1560","2022-05-26",1,6000,400,"4 out of 5","Super Area","Electronic City Phase 2, Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1561","2022-06-16",2,16000,950,"1 out of 1","Carpet Area","Ramamurthy Nagar","Bangalore","Furnished","Bachelors/Family",3,"Contact Owner"
"1562","2022-06-07",2,9500,530,"1 out of 3","Carpet Area","Byatarayanapura","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1563","2022-06-16",1,8000,300,"Ground out of 2","Carpet Area","Udayanagar Extension, Mahadevapura","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1564","2022-06-22",2,15000,1000,"Ground out of 3","Super Area","Dwarka Nagar, Kattigenahalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1565","2022-05-23",1,12000,450,"3 out of 3","Super Area","Btm Layout","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1566","2022-06-06",1,10000,600,"Ground out of 1","Carpet Area","Jeevan Bima Nagar, Airport Road","Bangalore","Semi-Furnished","Bachelors",1,"Contact Owner"
"1567","2022-06-23",2,16000,1100,"2 out of 4","Super Area","Jaya Nagar Block 7, Jayanagar","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"1568","2022-06-30",1,11000,400,"1 out of 4","Super Area","Chamrajpet","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1569","2022-06-30",2,11000,700,"1 out of 2","Super Area","Hosa Road, off Hosur Road","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"1573","2022-05-23",1,4000,650,"1 out of 2","Super Area","Byatarayanapura","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1575","2022-07-04",2,8500,600,"1 out of 3","Super Area","Vijayanagar","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"1576","2022-06-26",1,9000,400,"2 out of 4","Carpet Area","Munnekollal","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1577","2022-05-27",4,180000,2800,"Ground out of 4","Carpet Area","Sarakki Nagar, J P Nagar","Bangalore","Furnished","Family",4,"Contact Agent"
"1578","2022-05-06",2,10500,1100,"Ground out of 1","Super Area","Ananda Puram, Jeevan Bima Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1579","2022-05-29",2,12000,900,"1 out of 5","Super Area","Electronic City Phase 2, Electronic City","Bangalore","Unfurnished","Bachelors",2,"Contact Owner"
"1580","2022-06-12",3,32000,1300,"2 out of 4","Super Area","Hrbr Layout, Kalyan Nagar, Outer Ring Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1581","2022-05-25",2,15000,1000,"Ground out of 1","Super Area","Horamavu kelkkeri road","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"1582","2022-06-24",3,21000,1000,"1 out of 2","Carpet Area","Vishweshwaraiah Layout, Annapurneshwari Nagar","Bangalore","Furnished","Bachelors/Family",3,"Contact Owner"
"1583","2022-06-06",2,12000,900,"Ground out of 1","Carpet Area","Babusapalya","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Agent"
"1584","2022-06-06",1,7000,800,"1 out of 1","Carpet Area","Babusapalya","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Agent"
"1585","2022-05-12",2,15000,750,"1 out of 3","Super Area","Hutchins Road","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"1586","2022-05-10",2,11400,1100,"2 out of 5","Carpet Area","Nisarga capital appartment","Bangalore","Unfurnished","Bachelors",2,"Contact Owner"
"1587","2022-04-28",2,15000,1200,"1 out of 3","Super Area","Jp Nagar Phase 1, J P Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1588","2022-06-20",2,19000,1000,"Ground out of 2","Carpet Area","Rbi Layout, J P Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1589","2022-07-04",2,27000,1000,"4 out of 4","Carpet Area","Hbr Layout Block 4, HBR Layout","Bangalore","Semi-Furnished","Bachelors",2,"Contact Agent"
"1590","2022-05-18",3,48000,2000,"2 out of 4","Carpet Area","Frazer Town","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1591","2022-06-04",1,7000,550,"1 out of 3","Super Area","Chikkalasandra","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1593","2022-06-27",2,10000,600,"Ground out of 1","Super Area","Abbigere","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1594","2022-05-16",1,7000,100,"1 out of 2","Carpet Area","Chikkabanavara","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1595","2022-06-20",2,9000,500,"2 out of 5","Super Area","Meenakshi Layout, Kengeri","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1597","2022-05-31",2,35000,1200,"1 out of 5","Carpet Area","Mahatma Gandhi Road","Bangalore","Semi-Furnished","Bachelors",2,"Contact Agent"
"1598","2022-05-31",2,16000,850,"1 out of 2","Super Area","Bilekahalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1599","2022-05-27",1,4500,600,"1 out of 4","Super Area","Madanayakahalli","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1600","2022-05-23",2,16000,600,"1 out of 3","Super Area","Sivanchetti Gardens","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1601","2022-06-23",2,10000,700,"1 out of 4","Super Area","Nagavara","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1602","2022-06-20",1,8000,400,"1 out of 1","Carpet Area","Hebbal","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1603","2022-05-23",1,6000,400,"3 out of 4","Super Area","Thammenahalli Apartmentge","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1604","2022-06-30",2,13000,1000,"1 out of 2","Carpet Area","Horamavu","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"1605","2022-06-20",2,10000,1200,"Ground out of 4","Super Area","K R Puram","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1606","2022-05-14",3,55000,1603,"6 out of 17","Carpet Area","Magadi Road","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1607","2022-05-14",3,15000,1200,"Ground out of 2","Super Area","Bagalakunte","Bangalore","Semi-Furnished","Family",3,"Contact Owner"
"1608","2022-07-07",1,12000,420,"2 out of 5","Carpet Area","Murugeshpalya, Airport Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"1609","2022-07-07",2,9000,1200,"3 out of 4","Super Area","Gottigere","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1610","2022-07-07",3,36000,1771,"10 out of 18","Super Area","Gottigere","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent"
"1611","2022-06-16",3,37000,1200,"2 out of 3","Super Area","No 309 6th A cross Banashankari 1st stage 2nd block Bangalore 560050","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"1613","2022-05-31",1,17000,610,"10 out of 10","Super Area","Jalahalli, Jalahalli, Outer Ring Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1614","2022-05-31",1,8000,800,"3 out of 4","Super Area","Dooravani Nagar, Dooravani Nagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1615","2022-06-21",1,7500,550,"2 out of 3","Super Area","Hommadevanahalli","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1616","2022-05-27",2,9500,750,"1 out of 4","Super Area","Ms Palya, Vidyaranyapura","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1617","2022-06-04",2,13500,700,"1 out of 3","Carpet Area","Mathikere","Bangalore","Semi-Furnished","Bachelors",2,"Contact Owner"
"1618","2022-05-22",1,9000,600,"2 out of 2","Carpet Area","Ramamurthy Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"1619","2022-06-20",1,7000,360,"Ground out of 2","Super Area","J P Nagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1620","2022-06-08",2,12000,800,"2 out of 4","Super Area","Btm Layout Stage 2, BTM Layout","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"1621","2022-05-18",4,100000,3700,"18 out of 22","Carpet Area","Sanjeevini Nagar, Hegganahalli","Bangalore","Semi-Furnished","Bachelors/Family",5,"Contact Agent"
"1622","2022-07-08",2,12000,1200,"1 out of 3","Super Area","Electronic City","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner"
"1623","2022-06-20",1,8500,480,"2 out of 3","Super Area","Prakruthi Township, Hennur","Bangalore","Furnished","Bachelors/Family",1,"Contact Owner"
"1624","2022-07-01",2,18000,1000,"Ground out of 3","Super Area","M C Layout, Vijayanagar, Magadi Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1625","2022-06-27",1,11000,800,"Ground out of 3","Super Area","Dr.Shivaram Karanth Nagar, Jakkuru","Bangalore","Semi-Furnished","Family",1,"Contact Owner"
"1626","2022-05-27",3,18000,900,"2 out of 3","Super Area","Rajajinagar","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner"
"1627","2022-06-20",3,17000,1450,"Ground out of 2","Super Area","Rayasandra","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner"
"1628","2022-06-20",1,6500,400,"Ground out of 3","Super Area","Rajajinagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner"
"1629","2022-05-18",2,11500,700,"1 out of 2","Super Area","Near coffee board layout","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"1630","2022-05-10",2,22000,1000,"2 out of 6","Carpet Area","Banaswadi","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"1631","2022-05-16",1,13000,450,"3 out of 3","Carpet Area","Lakkasandra, Wilson Garden, bannerghatta main road","Bangalore","Furnished","Bachelors/Family",1,"Contact Owner"
"1632","2022-06-16",3,20000,773,"2 out of 12","Carpet Area","Mysore Road","Bangalore","Semi-Furnished","Bachelors",2,"Contact Agent"
"1633","2022-05-27",2,10000,1200,"1 out of 2","Super Area","Kengeri","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
